iter	Passed	Remaining
0	162	162443
1	165	82660
2	168	55942
3	171	42617
4	173	34539
5	175	29143
6	178	25302
7	180	22416
8	184	20271
9	187	18562
10	190	17121
11	192	15884
12	195	14839
13	198	13971
14	200	13184
15	203	12525
16	206	11954
17	209	11417
18	211	10937
19	214	10494
20	216	10101
21	219	9742
22	221	9401
23	223	9098
24	226	8838
25	229	8580
26	231	8344
27	233	8115
28	235	7899
29	238	7714
30	241	7559
31	245	7412
32	248	7271
33	251	7134
34	253	6995
35	256	6859
36	259	6743
37	261	6630
38	264	6511
39	266	6402
40	269	6298
41	272	6209
42	274	6102
43	276	5997
44	278	5906
45	280	5817
46	283	5739
47	285	5658
48	287	5574
49	289	5499
50	291	5417
51	293	5347
52	295	5282
53	297	5209
54	299	5139
55	301	5078
56	303	5020
57	305	4955
58	307	4900
59	309	4841
60	311	4789
61	313	4740
62	315	4685
63	317	4648
64	320	4604
65	321	4554
66	323	4508
67	325	4457
68	327	4414
69	328	4366
70	330	4318
71	332	4279
72	333	4239
73	336	4207
74	338	4169
75	339	4129
76	341	4089
77	343	4054
78	344	4012
79	345	3974
80	346	3936
81	348	3899
82	349	3866
83	351	3832
84	352	3795
85	353	3759
86	354	3724
87	355	3688
88	357	3656
89	358	3627
90	360	3597
91	361	3567
92	362	3540
93	364	3511
94	365	3480
95	366	3452
96	367	3424
97	369	3398
98	370	3375
99	372	3350
100	374	3332
101	375	3305
102	377	3285
103	379	3267
104	381	3247
105	382	3228
106	384	3212
107	386	3192
108	388	3172
109	389	3151
110	391	3132
111	392	3115
112	394	3093
113	395	3075
114	397	3055
115	398	3034
116	399	3016
117	401	2999
118	402	2977
119	403	2962
120	405	2947
121	407	2932
122	408	2911
123	409	2896
124	411	2881
125	413	2865
126	414	2848
127	416	2835
128	418	2823
129	419	2808
130	421	2794
131	422	2780
132	424	2765
133	425	2752
134	427	2739
135	429	2728
136	431	2716
137	432	2702
138	434	2688
139	435	2674
140	436	2661
141	438	2650
142	440	2640
143	442	2627
144	443	2615
145	447	2617
146	449	2605
147	450	2591
148	451	2579
149	453	2568
150	455	2559
151	456	2549
152	458	2539
153	460	2528
154	462	2521
155	464	2512
156	466	2503
157	468	2495
158	470	2486
159	471	2476
160	473	2468
161	475	2457
162	476	2448
163	478	2437
164	479	2427
165	481	2418
166	483	2409
167	484	2400
168	486	2393
169	488	2383
170	490	2376
171	492	2368
172	494	2362
173	496	2357
174	498	2349
175	500	2345
176	503	2340
177	505	2334
178	507	2326
179	509	2319
180	510	2308
181	512	2301
182	514	2295
183	515	2286
184	517	2278
185	519	2271
186	520	2264
187	522	2255
188	524	2248
189	525	2240
190	527	2232
191	528	2225
192	531	2220
193	532	2213
194	534	2207
195	536	2201
196	538	2195
197	540	2188
198	542	2182
199	544	2177
200	545	2169
201	547	2162
202	552	2167
203	553	2161
204	555	2154
205	556	2146
206	558	2139
207	560	2133
208	562	2128
209	564	2124
210	567	2122
211	569	2117
212	571	2110
213	573	2105
214	574	2098
215	576	2092
216	577	2085
217	580	2081
218	582	2075
219	583	2070
220	585	2062
221	586	2055
222	587	2048
223	589	2041
224	590	2034
225	592	2027
226	594	2023
227	595	2017
228	597	2012
229	599	2007
230	600	1999
231	602	1993
232	603	1987
233	605	1982
234	607	1976
235	609	1972
236	611	1967
237	613	1962
238	614	1957
239	616	1951
240	617	1945
241	619	1939
242	620	1933
243	622	1928
244	625	1926
245	626	1920
246	628	1916
247	630	1912
248	632	1908
249	634	1903
250	636	1898
251	638	1894
252	639	1888
253	641	1884
254	643	1880
255	645	1875
256	647	1872
257	649	1867
258	651	1862
259	652	1857
260	654	1852
261	656	1849
262	658	1845
263	660	1841
264	662	1836
265	663	1832
266	665	1827
267	667	1822
268	670	1822
269	672	1818
270	674	1815
271	676	1810
272	678	1806
273	680	1802
274	683	1802
275	685	1799
276	687	1794
277	689	1791
278	692	1788
279	694	1785
280	696	1781
281	702	1789
282	704	1785
283	706	1780
284	707	1775
285	709	1771
286	710	1766
287	712	1761
288	714	1757
289	716	1753
290	718	1749
291	720	1745
292	721	1741
293	723	1736
294	724	1732
295	726	1728
296	728	1724
297	730	1720
298	732	1717
299	734	1713
300	736	1710
301	738	1706
302	741	1706
303	747	1712
304	749	1708
305	751	1704
306	752	1699
307	753	1693
308	755	1689
309	757	1686
310	759	1683
311	761	1679
312	763	1674
313	764	1670
314	766	1666
315	767	1661
316	769	1657
317	770	1652
318	772	1648
319	774	1645
320	776	1642
321	778	1639
322	780	1635
323	781	1630
324	783	1626
325	785	1623
326	787	1620
327	789	1616
328	791	1613
329	792	1609
330	794	1606
331	796	1602
332	798	1598
333	799	1594
334	802	1592
335	804	1589
336	806	1586
337	808	1583
338	809	1579
339	811	1575
340	813	1572
341	815	1569
342	816	1564
343	819	1562
344	820	1558
345	822	1555
346	824	1551
347	826	1547
348	828	1544
349	829	1541
350	831	1538
351	834	1536
352	837	1534
353	839	1531
354	840	1527
355	841	1523
356	844	1520
357	846	1517
358	847	1514
359	850	1511
360	851	1507
361	853	1504
362	855	1501
363	857	1497
364	859	1494
365	860	1490
366	862	1487
367	864	1484
368	865	1480
369	867	1477
370	869	1473
371	870	1469
372	872	1466
373	874	1463
374	876	1460
375	878	1457
376	880	1454
377	882	1451
378	883	1447
379	885	1444
380	887	1441
381	888	1438
382	891	1436
383	893	1433
384	895	1430
385	897	1426
386	898	1423
387	899	1419
388	901	1416
389	903	1413
390	905	1410
391	907	1407
392	909	1404
393	911	1401
394	912	1398
395	914	1394
396	915	1390
397	917	1387
398	919	1384
399	920	1381
400	923	1379
401	925	1376
402	927	1374
403	929	1371
404	931	1368
405	933	1365
406	935	1363
407	938	1361
408	940	1359
409	942	1356
410	944	1353
411	945	1349
412	947	1346
413	948	1343
414	951	1340
415	953	1338
416	954	1335
417	956	1332
418	958	1329
419	960	1326
420	962	1323
421	963	1320
422	965	1317
423	967	1313
424	968	1310
425	970	1307
426	972	1304
427	973	1301
428	975	1298
429	977	1295
430	978	1292
431	981	1289
432	983	1287
433	985	1285
434	987	1282
435	989	1279
436	990	1276
437	992	1273
438	994	1270
439	996	1268
